Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0805",95.250000,-120.269000,180.000000,top
"C2","2u2","C_0805",146.050000,-120.269000,0.000000,top
"C3","2u2","C_0805",98.425000,-111.467000,270.000000,top
"C4","2u2","C_0805",115.570000,-109.435000,270.000000,top
"C5","2u2","C_0805",146.050000,-109.435000,270.000000,top
"C6","2u2","C_0805",115.570000,-95.465000,270.000000,top
"C7","2u2","C_0805",146.050000,-95.465000,270.000000,top
"FID1","Fiducial","Fiducial",94.234000,-130.810000,180.000000,top
"FID2","Fiducial","Fiducial",147.066000,-130.810000,180.000000,top
"FID3","Fiducial","Fiducial",150.876000,-90.424000,0.000000,top
"FID4","Fiducial","Fiducial",90.424000,-90.424000,0.000000,top
"U1","AS4C1M16F5","SOJ-42_400mil",130.810000,-99.060000,270.000000,top
"U2","AS4C1M16F5","SOJ-42_400mil",130.810000,-113.030000,270.000000,top
"U3","74HCT08D","SOIC-14_3.9mm",104.140000,-113.030000,0.000000,top
